
line,dateIni,dateEnd,label,nameTo,nameFrom,parada,secuencia,sentido,distancia,descparada,descpostal,posX,posY
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,718,3,2,783,Cartagena                                         ,Cartagena con Av. de América                           ,442966.5625,4476972.5
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,722,4,2,1139,Cartagena-Béjar                                   ,"Cartagena, 67                                          ",443191.0,4476701.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,2307,5,2,1552,Plaza San Cayetano                                ,Pza. de San Cayetano con C/ Azcona                     ,443236.0,4476342.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,725,6,2,1811,Centro Cultural Buenavista                        ,"Av. de los Toreros, 5                                  ",443197.0,4476129.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,728,7,2,2199,Parque Eva Duarte                                 ,"José Ortega y Gasset, 87                               ",443180.28125,4475883.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,730,8,2,2606,Lista                                             ,"José Ortega y Gasset, 55                               ",442775.0,4475919.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,732,9,2,3052,Marqués de Salamanca                              ,"José Ortega y Gasset, 33                               ",442375.40625,4475947.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,733,10,2,3514,Ortega y Gasset-Claudio Coello                    ,"José Ortega y Gasset, 13                               ",441915.0,4475980.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,449,11,2,3685,Serrano-Ortega y Gasset                           ,Serrano frente al Nº 66.                               ,441815.0,4475872.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,451,12,2,4079,Metro Serrano                                     ,"Serrano, 19                                            ",441756.0,4475482.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,452,13,2,4421,Museo Arqueológico                                ,Serrano frente al Nº 18                                ,441709.0,4475143.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,161,14,2,4733,Puerta de Alcalá                                  ,"Pza. de la Independencia, 3                            ",441643.0,4474876.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,69,15,2,5138,Cibeles                                           ,Pza. de Cibeles con Pº Recoletos                       ,441274.0,4474780.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,5135,16,2,5391,Círculo de Bellas Artes                           ,"Alcalá, 45                                             ",441041.5625,4474707.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,5137,17,2,5680,Gran Vía-Pedro Zerolo                             ,"Gran Via, 16                                           ",440773.25,4474792.5
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,4094,18,2,5898,Gran Vía-Montera                                  ,"Gran Vía, 28                                           ",440558.4375,4474837.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,9,19,2,6105,Gran Vía-Callao                                   ,"Gran Vía, 36                                           ",440352.875,4474859.5
